Job_Role,Company,Location,Job Experience,Skills/Description
Service Delivery _ OSS _ Data Scientist,Ericsson Global Services,Kolkata,4-8,"Bidding, Data management, PHP, Google AdWords, HTML, microsoft, Data mining, Statistics"
ASSOCIATE DATA SCIENTIST,Hinduja Global,Bangalore/Bengaluru,1-4,"Text mining, MS SQL, Statistical analysis, MySQL, Machine learning, Oracle, Data mining, big data"
Analyst - Data Scientist,UPL,Mumbai,2-3,"Python, Tensorflow, Data Science, NLP, Hadoop, Keras, Spark, Machine Learning"
Senior Data Scientist,ICERTIS Solutions,Pune,10-14,"IT Skills, Python, Data Science, Machine Learning, Artificial Intelligence, Cloud, Text mining, Cloud computing"
Senior Data Scientist,techcarrot FZ LLC,Hyderabad/Secunderabad,7-12,"IT Skills, Python, Data Science, Machine Learning, Cloud, DevOps, Azure, SAN"
Senior Data Scientist,Tridiagonal Solutions Pvt. Ltd.,Pune,3-8,"Relationship management, Mining, Computer science, Data management, Pharma, Consulting, Workflow, Data quality"
Data Scientist 1,PayPal,Chennai,4-8,"Unix, Operations research, SAS, Data management, Risk analytics, Project management, Data collection, Data mining"
"Data Scientist (BFSI) - MySQL, MIS QC",Muthoot Microfin,"Kochi/Cochin, Ernakulam",7-12,"Predictive Modeling, Power Bi, Business Analytics, Scripting Languages, SQL, Business Intelligence, SAS, Qlik Sense"
Data Scientist,Muthoot Microfin,"Kochi/Cochin, Ernakulam",3-8,"Predictive Modeling, Business Intelligence, Power Bi, Business Analytics, SAS, Qlik Sense, Scripting Languages, Data Mining"
Data Scientist (Risk / Fraud Experience is must),PayU Payments,Gurgaon/Gurugram,2-5,"Pyspark, Fraud Modelling, Risk, Data Scientist, Python, SAS, predictive analytics, Big Data"
"Specialist, Data Scientist",BNY Mellon,Pune,6-8,"Training, advanced analytics, data science, Programming, Representative, Management, Financial services, Analytics"
"Data Scientist, Product Analytics",PayPal,Chennai,5-9,"Computer science, Product engineering, data science, Project management, Consulting, Machine learning, Engineering Design, Financial services"
Data Scientist,PayPal,Chennai,4-8,"remediation, Data analysis, Project management, Analytical, Back office, linear regression, Analytics, Financial services"
Data Scientist 1,PayPal,Chennai,4-8,"Computer science, Statistical programming, Data modeling, Analytical, Machine learning, QlikView, Business intelligence, Financial services"
Data Scientist,Impetus,Gurgaon/Gurugram,2-6,"Natural Language, Hive, NLP, Vision, Hyperparameter tuning, Data Wrangling, Machine learning, TensorFlow"
Sr. Associate - Data scientist -Affine.Ai,CHANGE LEADERS CONSULTING,"Hyderabad/Secunderabad, Bangalore/Bengaluru",2-4,"Logistic Regression, R programming, Python, Machine Learning, Statistical Modeling, analytical, advanced statistics, SQL"
Sr. Associate - Data scientist -Affine.Ai,CHANGE LEADERS CONSULTING,"Hyderabad/Secunderabad, Bangalore/Bengaluru",2-4,"advanced statistics, Python, analytical, Statistical Modeling, R programming, Machine Learning, Logistic Regression, IT Skills"
Junior Data Scientist,KWALEE INDIA PRIVATE LIMITED,Bangalore/Bengaluru,1-6,"Data Science, Tensorflow, NoSQL, Data Management, Statistical Modeling, Data Analysis, Machine Learning, Deep Learning"
Data Scientist & Machine Learning Engineer,ASCENT TECHNOSYSTEMS PRIVATE LIMITED,Pune(Kalyani Nagar),0-5,"NLP, ML algorithm, Machine Learning, Databricks, Hive, Model Tuning, Anaconda, Anaconda Enterprise"
Senior AI Scientist - SAP Procurement Data Science Team,SAP India Pvt.Ltd,Bangalore/Bengaluru,4-9,"Python, IT Skills, Java, Data Science, Machine Learning, Cloud, SAP, Procurement"
Data Scientist,Randstad India Private Limited,Bangalore/Bengaluru,1-5,"Data science, Tableau, Python, SQL, Data scientist, Data Visualization"
Data Scientist: Advanced Analytics,IBM,Bangalore/Bengaluru,2-5,"Interpersonal skills, data science, Consulting, Machine learning, Open source, Training, advanced analytics, Circuit designing"
Data Scientist,Applied Materials,Bangalore/Bengaluru,2-4,"Tableau, Data Science, R, Design Development, Artificial Intelligence, Data Mining, Data Analytics"
Data Scientist - IN3,Walmart,Bangalore/Bengaluru,7-11,"Product management, Supply chain, Computer science, Cloud computing, Data analysis, Coding, Machine learning, Agile"
FTE - Regional BI - Data Scientist,Schneider Electric,Bangalore/Bengaluru,3-5,"Computer science, SAP, data science, Oracle SQL, Neural networks, Machine learning, Business solutions, big data"
Data Scientist,Applied Materials,Bangalore/Bengaluru,4-7,"data analysis, Multivariate Analysis, R, Machine Learning, Statistical Analysis, Shell scripts, Python"
Data Scientist,Applied Materials,Bangalore/Bengaluru,4-7,"ARIMAX, Data Science, Java, R, Business Intelligence Reporting, Business Analytics, SQL Server, Tableau"
Walk-In Interview - Data Scientist,Dun & Bradstreet,Chennai,14 May,"Data Science, Machine Learning, Numpy, Python, SQL, Predictive Modeling, Pyspark, Pandas"
Jr. Data Scientist,TEOCO Software,Bangalore/Bengaluru,1-5,"R, Alteryx, Statistics, SQL, Python"
Data Scientist: Artificial Intelligence,IBM,Bangalore/Bengaluru,3-7,"Data migration, Maximo, Enterprise applications, Artificial Intelligence, Open source, Maximo data model, Maximo data migration, Maximo Implementation"
Data Scientist,Ericsson Global Services,Bangalore/Bengaluru,10-15,"Computer science, Data management, Machine learning, PHP, Google AdWords, HTML, HTTP, microsoft"
Data Scientist,Optum,Bangalore/Bengaluru,2-7,"Graph DBs, pandas, scikit-learn, Big Data, Keras, NumPy stack, TensorFlow"
Principal Data Scientist,Optum,Bangalore/Bengaluru,10-20,"Machine Learning, image processing, NLP, Distributed training, Deep Learning modeling, Deep Learning Frameworks, Data Scientist, NLU"
Data Scientist: Artificial Intelligence,IBM,Bangalore/Bengaluru,3-7,"Data migration, Maximo, Enterprise applications, Artificial Intelligence, Open source, Purchase, Data modeling, Deployment"
Manager - Data Scientist Job @ Applied Materials - Bangalore,Applied Materials,Bangalore/Bengaluru(Whitefield),10-15,"data science, business intelligence reporting, Managing, business analytics"
Consultant - Data Scientist,Affine,Remote,4-7,"python, Machine Learning, SQL"
Analytics - Data Scientist,Schneider Electric,Bangalore/Bengaluru,5-7,"Supply chain, Mining, Logistic regression, Data analysis, Neural networks, Machine learning, Forecasting, MATLAB"
Data Scientist/Engineer - Global Telecom Setup,Global Telecom Setup,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru",3-8,"data science, Big Data, Spark, Cyber Security, big data analytics, hadoop, machine learning"
Senior Data Scientist / Lead Data Scientist | GeakMinds | Chennai,Geakminds Technologies Private Limited,Chennai,4-9,"Machine Learning, Python, Tableau, Azure, GCP, data mining, Data analysis, SQL"
Senior/ Lead Data Scientist - Market Mix Modelling ( MMM),BLEND360 INDIA PRIVATE LIMITED,Hyderabad/Secunderabad,3-8,"Data Scientist, Market Mix Modelling, Pyspark, SAS, SCALA, Python"
