Job_Role,Company,Location,Job Experience,Skills/Description
Data Analyst,Apna Recruiter,Bangalore/Bengaluru,1-6,"Cloud Platforms, Customer Support, Data Analyst, Analytics, Sql"
MDM - Data Analyst,Shell,Bangalore/Bengaluru,3-4,"Informatica MDM, Master Data Management, Data Analyst, Validation, IDQ logs, ActiveVos logs, MDM, AWS S3"
Data Governance analyst,CBSI India Pvt. Ltd.,Bangalore/Bengaluru,1-3,"communication, VBA, Advanced Excel, analytical, written, Macro, IT Skills, Quality Assurance"
Data Engineer - Python and Spark -Associate/AVP,Deutsche Bank,Pune,2-16,"Performance tuning, Automation, NoSQL, Data management, German, Data mining, Analytics, Financial services"
Data Analyst,Eli Lilly and Company,Bangalore/Bengaluru,3-8,"Business process, Performance tuning, Data analysis, data security, Process improvement, Integration testing, Healthcare, Data Analyst"
Analyst - Data,Wibmo,Bangalore/Bengaluru,2-5,"Pivot Table, Monthly Reports, Mis, Data Extraction, Advanced Excel, Data Analyst, Tableau, Powerpoint"
Data Analyst,CoStrategix Technologies Pvt. Ltd.,Bengaluru,5-10,"BPO, data analysis, Data validation, Agile, business rules, Data quality, Data Analyst, Informatica"
Data Analyst,Target,Bangalore/Bengaluru,2-3,"Data analysis, Talent acquisition, Analytical, Data collection, Troubleshooting, Continuous improvement, Forecasting, Analytics"
Data Analyst,Wadhwani Foundation,Bangalore/Bengaluru,4-6,"Head Business Development, Project management, MIS, Manager Program Management, Consulting, Data Analyst, Entrepreneur, Data mining"
data analyst,Etomate Technology LLP,Bengaluru,2-7,"Com, Relationship Executive, Excel, Star, Database, Data Analyst, Business intelligence, Macros"
ETL Developer - Data and Reporting Analyst - 2,TeamPlus Staffing Solution Pvt Ltd,Bangalore/Bengaluru,4-8,"Data analysis, Prototype, Machine learning, Scrum, SSIS, Business intelligence, microsoft, Stakeholder management"
Data Analyst,CoinSwitch Kuber,Bangalore/Bengaluru,4-9,"Data Science, Google Analytics, Data Management, Data Analyst, Tableau, Data Warehousing, Etl, Python"
data analyst,Talent Zone Consultant,Bangalore/Bengaluru,2-8,"Computer science, Data analysis, Data management, Machine learning, business rules, Data quality, Business intelligence, Data mining"
Analyst- Category Specialization - Data Analyst,Beroe,"Chennai, Bangalore/Bengaluru",2-4,"Procurement, Database architecture, SAN, French, Consulting, Cook, power bi, Data Analyst"
Data Operations Analyst,epiFi Technologies,Bangalore/Bengaluru,2-3,"IT Skills, Python, AWS, Tableau, Data analysis, Automation, US GAAP, Data management"
Data / Operations Analyst,Tech Wynk It Solutions LLP,Bangalore/Bengaluru,3-8,"Business process, Analytical skills, Operations Analyst, Interpersonal skills, Workflow, Channel management, power bi, Data analytics"
Revenue Ops Data Analyst,Trifacta,Bangalore/Bengaluru,5-7,"IT Skills, Tableau, Salesforce, Jobs, Medical, Data Analyst, Machine Learning, Recruitment"
ETL Developer - Data and Reporting Analyst,TeamPlus Staffing Solution Pvt Ltd,Bangalore/Bengaluru,3-5,"Data analysis, Prototype, data science, Machine learning, Scrum, SSIS, Business intelligence, microsoft"
Data Analyst 1- 3 years experience,EmQos Embedded Engineering Pvt. Ltd.,Bangalore/Bengaluru,1-3,"advanced excel, SQL, Pivot Table, Excel, VBA, Conditional Formatting, Data Analysis, vlookup"
Data Analyst,Portcast,Bangalore/Bengaluru,1-3,"Cargo, Trade, Machine learning, market data, Data Analyst, Entrepreneur, Logistics"
Data Analyst,SWIRE DIGITAL CENTRE PRIVATE LIMITED,Bangalore/Bengaluru(Residency Road),5-7,"quality reporting, data quality, database maintenance, data analysis, Data Migration, redshift, power bi, SQL Server"
Data Management Analyst,"E2open, LLC",Bangalore/Bengaluru,4-7,"verbal, written communication, data management, Excel, SQL, PLSQL, Microsoft Suite, Data conversion"
Data Analyst - Reputed Healthcare - On Roll,M/s Team Konsult,Bangalore/Bengaluru,2-5,"powerbi, data analyst, SQL, Excel"
Data Analyst - Growth/Self Serve Analytics (Remote,AIRMEET NETWORKS PRIVATE LIMITED,Remote,2-3,"Visualizing, data analysis, data analytics, Tableau, IT Skills, data interpretation, SQL"
"DATA ANALYST, IMPACT MEASUREMENT AND MANAGEMENT",Upaya Social Ventures,Bangalore/Bengaluru,1-3,"Data management, Business analytics, Director, Data quality, Management, MS Office, Portfolio management, Information technology"
Data Analyst - IIM/ISB/MDI/FMS/SP Jain,K12 Techno Services Pvt Ltd,Bangalore/Bengaluru,4-9,"relational data, metadata, verbal communication, data mining, written, IT Skills, Quality Assurance, Data Management"
Data Analyst,Borderless Access,Bengaluru,1-4,"Excel, Technical writing, Data Analyst, SPSS, Research, Analytics, Python"
Data Analyst,6Sense,Bengaluru,3-7,"IT Skills, Testing, Data Science, Machine Learning, Big Data, Tableau, Data analysis, Venture capital"
Data Analyst,Multi Recruit,Bangalore/Bengaluru,2-4,"Bpo, Business Intelligence, Customer Service, Excel, Finance, Client Servicing, Business Development, Data Modeling"
Data Analyst,Rehoboth Academic Services,Bengaluru,2-7,"Excel, Report writing, Content writing, SEM, Data Analyst, MS Office, Statistics"
Data Analyst,Magenta Power Pvt Ltd,Bangalore/Bengaluru,3-5,"Secondary Data, Sas, Database Design Development, Business Data Analyst, Data Collection Systems, Data Mining, Process Improvement, Information Management"
Data Analyst RK,HUSYS CONSULTING LIMITED,Bengaluru,4-6,"MIS reporting, Data analysis, MS Access, Standardization, Macros, SQL, Data extraction, Complex"
Statistician/Data Analyst,Authenu,Bengaluru,2-7,"communication, Usage, Email, Data collection, Data Analyst, Problem, Subject Matter Expert, Research"
Data Analyst,NovoTree Minds Consulting Pvt. Ltd.,Bangalore/Bengaluru,2-5,"communication, SQL, data analysis, IT Skills, Project Management, BPO, project management, Business Intelligence Analyst"
Data Analyst,Q-DAT IT SOLUTIONS PVT. LTD.,Bengaluru,2-5,"verbal communication, advance excel, written, excel, MS Office, Advanced, Analytical, Data Analyst"
Data Analyst,HRS,Chandigarh,2-5,"Microstrategy, Procurement, Supply chain, Business Analyst, Schema, Data quality, Budgeting, Business intelligence"
Data Science Analyst,Asian Society of Film And Television,Noida,3-5,"machine learning, Data Wrangling, Artificial Intelligence, Big Data, business analytics, Analytics, Python"
Clinical Data Analyst,Manipal Acunova Ltd.,"Chennai, Bangalore/Bengaluru",3-8,"Life Sciences, Biostatistician, Clinical Research, Sas Macros, Efficacy, Data Analyst, Clinical Development"
Data Analyst - NLP,Refinitiv,Bangalore/Bengaluru,1-4,"Test reporting, Stock exchange, Finance, Healthcare, Data Analyst, Natural language processing, Advanced Excel, Recruitment"
Data Analyst - Marketing Campaigns & Analytics,Cyberinc,Bangalore/Bengaluru,1-4,"IT Skills, Tableau, Salesforce, Data analysis, Data modeling, Analytical, Marketing campaigns, Data Analyst"
Data Analyst,V-Align Technologies,Bengaluru,1-2,"data analysis, Data Analyst, Statistics"
MIS Executive | Data Analyst,Megara InfoTech Pvt. Ltd.,"Noida, Meerut, Faridabad, Gurgaon/Gurugram, Jaipur, Delhi / NCR",0-1,"mis executive, MIS, mis manager, Excel Dashboards, VLOOKUP, Formulas, Advanced Excel, Macros"
Data Analyst,Vision Beyond Resources India Private Limited,Bangalore/Bengaluru,8-12,"Snowflake / Redshift, Data Analysis, Data Modeling, AWS, SQL"
Data Analyst 3,Acko,Bangalore/Bengaluru,4-6,"Medical underwriting, Copy writing, Claims, Intern, Regulatory compliance, Data Analyst, Customer experience, Associate Director"
Data Analyst 2,Acko,Bangalore/Bengaluru,3-6,"Copy writing, Claims, Regulatory compliance, Data Analyst, DGM, Customer experience, Associate Director, Digital marketing"
Data Analyst,Travel Centric Technology,Bangalore/Bengaluru,2-7,"Data Analysis, Data Mapping, written communications, Agile, Excel, verbal, SQL, Interpersonal skills"
Data Analyst,T & A Solutions,Bangalore/Bengaluru,5-10,"Computer science, MS SQL, Helpdesk, Analytical, SSRS, Programming, Data Analyst, Data quality"
"Data Analyst , Product",MediaMath,Bangalore/Bengaluru,4-9,"Data Science, Predictive Modeling, Digital Media, Data Analysis, Statistical Modeling, Data Analyst, Analytics, Python"
ETL Developer ( Data and Reporting Analyst),TeamPlus Staffing Solution Pvt Ltd,Bangalore/Bengaluru,5-10,"Automation, Prototype, Data management, Scrum, SSIS, Business intelligence, microsoft, Stakeholder management"
Sales Operations Data Analyst,PATRA INDIA BPO SERVICES PRIVATE LIMITED,"Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",5-10,"sales operations, Data Mining, CRM, BPO, data entry, data analysis, Excel, Hubspot"
Data Analyst / Business Analyst,Search Advisers Services ( GUJ ) Pvt. Ltd.,Bangalore/Bengaluru,4-9,"data analysis, Alteryx, Tableau, ETL, Business Analysis, Pivot Table, VBA, KPI"
Data Analysts,Prometheus Consulting,Bengaluru,2-3,"Supply chain, Process orientation, Business analytics, Analytical, Consulting, Market research, Data Analyst, Customer experience"
Data Analyst,AARNA HR SOLUTIONS PVT. LTD.,Bengaluru,3-7,"Automation, RDBMS, PLSQL, Data Analyst, QlikView, Macros, Business Executive, Analytics"
Data Analyst,Glance IT Solution,Bangalore/Bengaluru,1-4,"IT Skills, Python, Tableau, Power BI, Procurement, Supply chain, Market analysis, Data analysis"
Data Analyst - BRD,Eli Lilly and Company,Bangalore/Bengaluru,2-7,"Automation, Data analysis, Data management, Coding, Formulation, Data Architect, Healthcare, MATLAB"
Data Analyst,"Glassbeam, Inc",Bengaluru,1-3,"Data Analysis, Data Analyst"
Data Analyst,Klub,Bangalore/Bengaluru,1-4,"Data Science, Sas, Database Design Development, Business Data Analyst, Etl Frameworks, Data Mining, Process Improvement, Data Collection"
Data Analyst,Equifax Credit Information Services Pvt Ltd,Bangalore/Bengaluru,4-5,"unix linux, project management, data analysis, analytical, quantitative, project management skills, msc, sas programming"
Clinical Data Analyst,Eli Lilly and Company,Bengaluru,3-5,"Computer science, CRO, Data modeling, Pharma, Healthcare, healthcare analytics, DBMS, Data mining"
Consulting Advisory _ ACOE _ Data Engineering _ Associate 2,PwC,Hyderabad/Secunderabad,4-8,"Unix, Computer science, Assurance, Data management, Consulting, Business strategy, Informatica, Business intelligence"
Business / Data Analyst Analytics,Grazitti Interactive,Mohali,2-5,"IT services, Data analysis, SAS, SSRS, SSIS, Business intelligence, Adobe, Analytics"
Business Data Analyst,GP Strategies,Remote,5-7,"Data Validation, data analysis, etl, data extraction, Power Bi, VBA, Pivot, data integrity"
Data Analyst,Jio,"Mumbai, Thane",3-7,"Data Analysis, Data Collection, Predictive Analytics, Statistical Tools, Data Analytics, Data Governance"
Business Analyst / Data Analyst,DC Consultants,Pune,3-5,"Managed services, Business Analyst, Consulting, Test design, Software development life cycle, Data analytics, SDLC, Software services"
Female accounts Data Analyst,Parekh Integrated Services Pvt Ltd,"Kolkata, Howrah",2-6,"data analysis, Accounting, MIS Reporting, MCOM, Pivot Table, bcom, ca intern, VLOOKUP"
"Data Analyst, Regulatory Risk and Compliance",Google,Hyderabad/Secunderabad,4-9,"IT Skills, Machine Learning, Project Management, BPO, project management, Computer science, Compliance, Business analysis"
Data Management and Analysis Services Analyst II,Conduent,Noida,4-6,"Communication Skills, Service Level, Law, Project Management, Compliance, Legal, Data Management, Operations Management"
Big Data Analysis Tool and Techniques Application Developer,Accenture,Hyderabad/Secunderabad,4-6,"COBOL, CICS, JCL, communication, DB2, IT Skills, Mainframe, Business process"
Tech Mahindra hiring For Data Analyst ( with Service DESK EXP) - Noida,Tech Mahindra,Noida,2-7,service desk
Big Data Analysis Tool and Techniques Application Developer,Accenture,Pune,4-6,"written, LINUX OS, communication, Cloudera, UNIX, Cloudera Manager, Python, Cloudera administration"
Looking For Data Analyst - Global internal audit - RAIN Industries,RAIN INDUSTRIES LIMITED,Hyderabad/Secunderabad(Srinagar Colony),2-6,"Internal Audit, data analytics, Data Analysis, data analyst"
Analyst: Data Science Insights,TIGER ANALYTICS INDIA CONSULTING PRIVATE LIMITED,Chennai,1-4,"PowerBI, Tableau, python, Data Analysis, R, Pandas, verbal communication, R Shiny"
Business/Data Analyst,Shiprocket,Delhi / NCR,2-4,"communication, Data mining, IT Skills, Machine Learning, Business Analytics, Business Analyst, Data Manipulation, Data Analysis"
Senior Big Data Developer,Deutsche Bank,Pune,5-10,"Performance tuning, Hibernate, Tomcat, Multithreading, Weblogic, Agile, Data structures, Workflow"
Senior Business Analyst/Data Engineer - Python & Cloud Computing,Huquo Consulting Pvt. Ltd,Delhi / NCR,2-4,"Cloud Computing, AWS, Python, Azure, Database Optimization, Business Analyst, Cloud, Transform"
Python Developer - Django/Data Structure,Appscrip,"Guwahati, Hyderabad/Secunderabad, Chennai, Jaipur, Bangalore/Bengaluru, Delhi / NCR, Haryana, Gujarat, Goa",0-1,"Django, Data Structure, Python, RabbitMQ, Multithreading, PostgreSQL, Pandas, Kafka"
Sr. Data Engineer,Search Folks,"Kolkata, Mumbai, Visakhapatnam, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru",2-6,"Azure, AWS, Google Cloud, R, SAS, Cloudera, Data analytics, ETL"
Sr Data Engineer,TRH Consultancy Services,"Mumbai, Nagpur, Hyderabad/Secunderabad, Pune, Chennai, Coimbatore, Delhi / NCR, Bangalore/Bengaluru",5-10,"IT Skills, Python, Data Science, Cloud, DevOps, Big Data, Jenkins, Cloudera"
Lead Data Engineer/Senior Lead Data Engineer,Huquo Consulting Pvt. Ltd,"Pune, Gurgaon/Gurugram, Bangalore/Bengaluru",8-13,"Pyspark, Databricks, AWS, AWSAzure Spark, Sqoop, Spark, AWS Spark, Apache Airflow"
HCL Hiring For Big Data / polyglot Developer,HCL Technologies,"Pune, Bangalore/Bengaluru",2-7,"big data, Maven, MapReduce, Machine learning, CI, CD, communication, Spark"
"AWS Big Data (Software Engineer, Senior Software Engineer )",Aspire Recruitment Solutions,"Pune, Gurgaon/Gurugram, Bangalore/Bengaluru",2-7,"NoSQL, Big Data, AWS, IT Skills, Java, Python, Elastic Search, Hadoop"
ACN - Applied Intelligence - CC - Data Science (IN) - 09,Accenture,Gurgaon/Gurugram,0-5,"Data Science, Applied intelligence, development, solution design, leadership, Consultant, client projects, Analytics"
Informatica Big Data Edition Application Developer,Accenture,Bangalore/Bengaluru,4-6,"Business process, Consulting, Agile, Data quality, Informatica, Informatica DQ, ETL, analytical"
Senior Big Data Engineer,Nirai Consulting Pvt. Ltd.,Bangalore/Bengaluru,5-10,"data architectures, Big Data, SQL, IT Skills, metadata, Hadoop, Kafka, HBase"
Senior Manager - Data Engineer - KPO,Huquo Consulting Pvt. Ltd,Bangalore/Bengaluru,4-9,"Big Query, Hadoop, SQL queries, Java, PySpark, Big Data, develop, Google Cloud"
Junior Data Analyst,Checktronix India Pvt. Ltd.,Chennai,2-4,"Python, MySQL, Data Analysis, Data Manipulation, Snowflake, written, Big Data Data Modeling, IT Skills"
Fresher Job - Junior MIS Executive / Data Analyst,Z H Consultancy Services Private Ltd.,Kochi/Cochin,0-1,"excel, Excel Sheet, JIRA, Confluence, MS Office, IT Skills, Project Management, BPO"
Lead Data Engineer,DocsApp,Bangalore/Bengaluru,2-5,"Automation, Data migration, Data management, Diagnostics, MySQL, Wellness, Data analytics, Monitoring"
Data engineer / big data - hive / impala / Hadoop,Leading MNC IT (analytics),"Gurgaon/Gurugram, Bangalore/Bengaluru, Mumbai (All Areas)",3-8,"Hive, pyspark, Impala, analysis, analytical, Big Data Hadoop, Bigdata, Hadoop Hive"
Data Engineering Leader - A&I,Jubilant Foodworks,Noida,12-14,Data Engineering
Azure Data Engineer Lead,P&G,Mumbai,5-9,"Computer science, Application management, agile project management, Diversity and Inclusion, Supply chain solutions, Data processing, Information technology, consumer goods"
Lead Data Engineer,Quicken Software Development Pvt Ltd,Bengaluru,5-8,"Data modeling, MySQL, Agile, Healthcare, Windows, DBMS, Middleware, SQL"
Big Data + GCP Lead / Engineers,AugmatrixGo,"Hyderabad, Pune, Bengaluru",2-7,"Computer science, NoSQL, RDBMS, GCP, Data structures, Scheduling, big data, User acceptance testing"
Lead Data Engineer,MediBuddy,Bangalore/Bengaluru,5-8,"Automation, Data migration, Postgresql, Consulting, MySQL, Healthcare, Doctor, Analytics"
Lead Data Engineer- Full-Time Role- Bengaluru Location,Pythian,Bangalore/Bengaluru,6-9,"Data Engineering, Data Warehousing, AWS, Java, Pyspark, Azure, Ci Cd Pipeline, Hadoop"
Lead Data Engineer- Full-Time Role- Remote (Work from anywhere),Pythian,"Hyderabad/Secunderabad, Bangalore/Bengaluru",6-8,"Data Engineering, SQL, AWS, Java, Pyspark, Azure, Ci Cd Pipeline, Hadoop"
Lead Data Engineer,Lead Data Engineer,Bengaluru,4-10,"MS SQL, Application programming, Disaster recovery, Schema, MongoDB, Unit testing, Business intelligence, Troubleshooting"
Lead Data Engineer,Sequoia Consulting Group,Bangalore/Bengaluru,3-6,"Payroll, Business analysis, Consulting, Agile, Data structures, Customer service, Open source, Distribution system"
Lead Data Engineer - Data Catalogue SME,Shell,Bangalore/Bengaluru,10-20,"JAVA, V5 Collibra, REST APIs, Change Management, Metadata Management, Knowledge Management, Artificial Intelligence, Rest"
Hiring alert For Data Lead Engineers,Wissen Infotech,"Hyderabad/Secunderabad, Bangalore/Bengaluru",5-10,"python, spark, hadoop, ETL, Big Data, Hive, data engineering, schema design"
"Lead Data Engineer,",infallible HR,Bangalore/Bengaluru,6-8,"Unix, Linux, Networking, MySQL, Javascript, Active directory, JSON, Troubleshooting"
Lead Data Engineer,CASHFREE HOLIDAY PLANNERS,Bangalore/Bengaluru,6-9,"Computer science, spark, Analytical, Data processing, Manual, Continuous improvement, Distribution system, Analytics"
Lead Data Engineer,BENISON TECHNOLOGIES,Bangalore/Bengaluru,8-13,"RDBMS, microservices, Linux, Kafka, DevOps, algorithms, Spark, Jira"
Lead data Engineer,Relevance Lab Inc,Bangalore/Bengaluru,7-9,"AWS Glue, Amazon Web Services, Jenkins, Object Oriented Programming, data analytics, MySQL, AWS Redshift, Agile"
AWS Data Engineer / Lead Data Engineer,Team4Progress,Bangalore/Bengaluru,4-10,"Data migration, NoSQL, dynamo db, Coding, data security, spark, big data, AWS"
Lead Data Engineer,Acko,Bangalore/Bengaluru,2-5,"Claims, Lead Software, devops, Relationship, Director, SEM, Room"
"Lead Engineer QA , Data Engineering",Harman Connected Services Corporation India Pvt.,Bangalore/Bengaluru,7-12,"Automation, Test strategy, Staffing, Functional testing, Analytical, Reconciliation, Agile, Test scenarios"
Lead Data Engineer,Fabric,Bangalore/Bengaluru,5-7,"IT Skills, Python, Machine Learning, Cloud, Big Data, AWS, Design Patterns, Data Structures"
Azure - Lead Data Engineer,ECOLAB DIGITAL CENTER PVT LTD,Bangalore/Bengaluru,7-9,"Azure Data Lake, azure data factory, SQL, IT Skills, Python, Machine Learning, Cloud, DevOps"
Lead Data Engineer,Xpheno,Bangalore/Bengaluru,7-11,"orchestration, spark, Delta, Cloud, Programming, SQL, Python"
Data Engineering Lead,Signify,Bangalore/Bengaluru,4-10,"Supply chain, Business process, Cloud computing, SAP, Data modeling, Javascript, Business intelligence, Information technology"
Data Engineering Lead,Snaphunt,Bangalore/Bengaluru,8-13,"data engineering, BI, APIs, MongoDB, MySQL, Kafka, front end, .net"
Data Engineer-Scala-Lead,Onward Technologies Limited,Bangalore/Bengaluru,8-12,"Python/NodeJS/Java, scala, spark, aws, EMR, debugging, Apache Spark, NodeJS"
Chapter Area Lead- Data engineering,CBA Services Private Limited,Bangalore/Bengaluru,5-10,"IT Skills, Project Management, BPO, customer service, project management, Product management, Change management, Software design"
Cloud Data Lake Lead Engineer,Anicalls,Bangalore/Bengaluru,5-10,"IT Skills, Java, Python, Data Science, Cloud, AWS, Computer science, Performance tuning"
Lead Data Security Engineer,Anicalls,Bangalore/Bengaluru,5-10,"TSQL, Azure SQL, PL / SQL, Azure Sentinel, Terraform, Ansible, Bash, Python"
Lead Engineer ( Data SRE ),Target,Bangalore/Bengaluru,4-9,"Disaster recovery planning, Automation, Data management, Architecture, Debugging, Agile, Workflow, application architecture"
Lead QA Engineer Data Analytics Python/Java,CareerXperts Consulting,Bengaluru,2-7,"c#, python, Automation testing, java, C, QA Lead, testing, Data analytics"
Lead QA Engineer Data Analytics Python/Java,CareerXperts Consulting,Bengaluru,5-10,"c#, QA, python, Automation testing, java, testing, Data analytics, Test Lead"
Lead Engineer - Data Analytics,Codecraft Technologies Private Limited,"Mangaluru/Mangalore, Bangalore/Bengaluru",9-14,"Microstrategy, Power BI, Tableau, Teradata, SQL, Data Modeling, Oracle, Reporting"
Lead Data Science Engineer - Deep Learning,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,0-2,"Data Science, Machine Learning, Deep Learning, Tensorflow, Spark, Machine Learning Algorithm, Pytorch, verbal"
"Technical Lead, Data Engineer, Product, Tools Operations, gTech",Google,Gurgaon/Gurugram,3-6,"machine learning, IT Skills, Computer science, C++, Performance management, Data processing, Troubleshooting, Analytics"
Data Engineering Application Lead,Accenture,Pune,6-8,"Automation, Data migration, PAAS, Datastage, Consulting, Informatica, SSIS, Stakeholder management"
Data Engineering Application Lead,Accenture,Gurgaon/Gurugram,6-8,"IT Skills, Java, Python, Testing, Cloud, Big Data, Mainframe, Coding"
Data Engineering Application Lead,Accenture,Hyderabad/Secunderabad,8-10,"IT Skills, Java, Python, Machine Learning, Project Management, Javascript, Big Data, agile project management"
Data Engineering Application Lead,Accenture,Pune,6-8,"Data Engineering, Data Analytics, Power BI, Presentation, Microsoft Power BI, Data Modeling, Communication, Data dictionary"
Data Engineering Application Lead,Accenture,Pune,4-6,"CI / CD, kafka, Dataproc, Data Engineering, Java, communication, Data Analytics, spark"
Data Engineering Application Lead,Accenture,Hyderabad/Secunderabad,8-10,"Performance tuning, NoSQL, cassandra, Consulting, Machine learning, MongoDB, Application Lead, Operations"
Data Engineering Application Lead,Accenture,Pune,6-8,"IT Skills, Python, AWS, Computer science, Data modeling, Consulting, SCALA, Programming"
Senior Business Analyst-Anblicks Cloud Data Engg Co,ANBLICKS CLOUD DATA ENGG PRIVATE LIMITED,"Vijayawada, Hyderabad/Secunderabad, Ahmedabad",5-10,"Business Analytics, IT Skills, Testing, Business Research, Brd, UML, Software Testing Life Cycle, FRD"
Senior Business Analyst-Anblicks Cloud Data Engg Co,ANBLICKS CLOUD DATA ENGG PRIVATE LIMITED,"Vijayawada, Hyderabad/Secunderabad, Ahmedabad",5-10,"Business Analytics, Business Research, Brd, UML, Software Testing Life Cycle, FRD, agile, sdlc"
Data Engineering Analytics and Modeling Lead,Accenture,Mumbai,8-10,"analytical, IT Skills, Data Science, Cloud, Analytical skills, Consulting, market data, professional services"
Software Engineering Lead (Data) - Multiple Locations,Optum,Hyderabad/Secunderabad,3-8,"New Development, Design Development, Software Engineering, Research Development, Technology Solutions, Thought Leadership"
Senior Software Analyst (Data Engineer),EnergyTech Global,Hyderabad/Secunderabad,3-7,"IT Skills, Python, Software Development, AWS, Postgresql, Software Analyst, Desktop support, SQL"
Data & Analytics Tech - AWS with Big Data - Senior Associate,PwC,Hyderabad/Secunderabad,6-12,"Performance tuning, Analytical, Cloud, Key management, Troubleshooting, big data, AWS, Analytics"
"Associate/Analyst, Data Visualization",MetrixLab,Hyderabad/Secunderabad,3-7,"Associate Analyst, Excel, Packaging, Market research, E-commerce, data visualization, Manager Quality Control, Marketing communication"
Associate/ Analyst- Data / MIS - TA Data Analyst,Protiviti Consulting,Gurgaon/Gurugram,2-5,"data analysis, data analytics, ATS, charts, Data Visualization, Dashboards"
"Urgent Sr.Data Engineer, DW,Python,SQL,ETL, Dell EMC- CTH Blore.",Orcapod Consulting Services Private Limited,Bangalore/Bengaluru,8-12,"python, Data Warehousing, Data Architecture, etl, data engineering, IT Skills, Testing, Data Science"
Job Openings For Senior Data Engineer Analytics & Visualization,Cantik technologies pvt ltd,"Kolkata, Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",2-7,"Visualization Technologies, OLAP, Tableau"
Senior Data Engineer,Gameopedia AS,Hyderabad/Secunderabad,5-10,"Computer science, C++, Automation, Project management, Machine learning, Data structures, Analytics, Monitoring"
Senior Data Engineer,OzyBrains LLP,Remote,2-7,"ETL, IT Skills, Python, Airflow, NoSQL, Data Engineering, Tsql Queries, MongoDB"
Senior Data Engineer BIU,Pramerica Life,Gurgaon/Gurugram,4-6,"Excel, PowerBI, Glue, SQL, S3, python, Sagemaker, DMS"
"Senior Data Engineer- Talend, Hive, SQL",Briltus Services Private Limited,Bangalore/Bengaluru,5-7,"Hive, Talend ETL, Azure Data Factory, ETL, Talend, Azure Databricks, IT Skills, Azure"
Senior Data Engineer,Pathway Creators,Bangalore/Bengaluru,5-10,"Python, sc, Pandas, Sqlalchemy, ETL, Numpy"
Opening For Sr. Data Engineer with News Corp(product) - Bangalore,NTS Technology Services Private Limited,Bangalore/Bengaluru,4-9,python
Data Engineering Analyst,Anicalls,Noida,5-10,"IT Skills, Python, Cloud, Big Data, AWS, Azure, Data migration, Architecture"
"Senior Manager-ML Engineer, Data Science",PEPSI FOODS PRIV LIMITED,Hyderabad/Secunderabad,2-6,"Supply chain, Computer science, Performance tuning, Data management, Apache, Business intelligence, Distribution system, Monitoring"
Big Data Engineering Analyst,DataBeat,Hyderabad/Secunderabad,2-7,"BPO, data analysis, Automation, Data management, Data modeling, Hadoop, Data quality, big data"
Big Data Engineering Analyst DataBeat,DataBeat,Hyderabad/Secunderabad,2-7,"BPO, data analysis, Automation, Data management, Networking, Data modeling, Data quality, big data"
Senior Data Engineer - Data Management (Pyspark) | Advance Auto Parts,TALENT500 TECH (INDIA) PRIVATE LIMITED,Hyderabad/Secunderabad,10-14,"Pyspark, AWS"
Senior Data Engineer - Pyspark | Advance Auto Parts,TALENT500 TECH (INDIA) PRIVATE LIMITED,Hyderabad/Secunderabad,6-9,"Pyspark, AWS"
Senior Data Engineer - Pyspark | Advance Auto Parts,TALENT500 TECH (INDIA) PRIVATE LIMITED,Hyderabad/Secunderabad,9-12,"Pyspark, AWS"
Looking For Senior Engineering Manager-Data Hyderabad,Ness,Hyderabad/Secunderabad,10-17,"Engineering, Software Development, Azure, Cloud, SCALA, Agile, Big Data, Kafka"
Looking For Senior Engineering Manager-Big Data Hyderabad,Ness,Hyderabad/Secunderabad,10-17,"Software Development, Azure, Cloud, SCALA, Agile, Big Data, Kafka, Scrum"
Looking For Senior Engineering Manager-Big Data Hyderabad,Ness,Hyderabad/Secunderabad,10-17,"IT Skills, Python, Software Development, Cloud, DevOps, Oracle, Big Data, Azure"
Engineer - MDD ( Thermal Analysis ),DATA PATTERNS (I) PVT LTD,Chennai,3-5,"CFD, RF, Aerospace, Manufacturing process, Ansys, Packaging, Electronics, Mechanical design"
Data Analyst Engineer,SMI Coated Products Private Limited,"Mumbai Suburban, Mumbai (All Areas)",3-5,"candidae shall quick learner with good communication and team skills and excellent coordination wih HOD and support staff, green belt, data analysis, candidae shall be prepared for timel, Process Excellence, Good a compuing and Excell shees is a must"
Big Data Engineer - SSE - Work From Home,2Coms,"Bangalore/Bengaluru, Bangalore",2-7,"bigdata, data analyst"
Software Development Engineer 3 (Data Platform),ANI Technologies Pvt. Ltd.,Bangalore/Bengaluru,6-9,"Project management, MySQL, Infrastructure, Manager Technology, Windows, Distribution system, Monitoring, SQL"
Data Engineer/ Software Engineer (Data),"Qualcomm Technologies, Inc",Bangalore/Bengaluru,1-6,"Unix, Computer science, metadata, Staffing, Shell scripting, Data structures, Apache, Information technology"
"Cloud Engineer, Data, Google Cloud",Google,"Mumbai, Hyderabad/Secunderabad, Gurgaon/Gurugram, Bangalore/Bengaluru",2-4,"Product management, Computer science, C++, Machine learning, Javascript, Data structures, Troubleshooting, Data mining"
